invoice_date,target_revenue,past_7_revenue,past_31_revenue,past_60_revenue,past_150_revenue,past_30_mean_interactions,past_150_mean_interactions,past_30_mean_views,past_150_mean_views,past_30_mean_invoices,past_150_mean_invoices,past_30_mean_streams,past_150_mean_streams
2017-12-04,0.0,123.28,123.28,123.28,123.28,21.0,21.0,175.0,175.0,1.0,1.0,21.0,21.0
2017-12-05,0.0,123.28,123.28,123.28,123.28,10.5,10.5,87.5,87.5,0.5,0.5,10.5,10.5
2017-12-06,0.0,123.28,123.28,123.28,123.28,7.0,7.0,58.333333333333336,58.333333333333336,0.3333333333333333,0.3333333333333333,7.0,7.0
2017-12-07,0.0,123.28,123.28,123.28,123.28,5.25,5.25,43.75,43.75,0.25,0.25,5.25,5.25
2017-12-08,0.0,123.28,123.28,123.28,123.28,4.2,4.2,35.0,35.0,0.2,0.2,4.2,4.2
2017-12-09,0.0,123.28,123.28,123.28,123.28,3.5,3.5,29.166666666666668,29.166666666666668,0.16666666666666666,0.16666666666666666,3.5,3.5
2017-12-10,0.0,123.28,123.28,123.28,123.28,3.0,3.0,25.0,25.0,0.14285714285714285,0.14285714285714285,3.0,3.0
2017-12-11,0.0,123.28,123.28,123.28,123.28,2.625,2.625,21.875,21.875,0.125,0.125,2.625,2.625
2017-12-12,0.0,0.0,123.28,123.28,123.28,2.3333333333333335,2.3333333333333335,19.444444444444443,19.444444444444443,0.1111111111111111,0.1111111111111111,2.3333333333333335,2.3333333333333335
2017-12-13,0.0,0.0,123.28,123.28,123.28,2.1,2.1,17.5,17.5,0.1,0.1,2.1,2.1
2017-12-14,0.0,0.0,123.28,123.28,123.28,1.9090909090909092,1.9090909090909092,15.909090909090908,15.909090909090908,0.09090909090909091,0.09090909090909091,1.9090909090909092,1.9090909090909092
2017-12-15,0.0,0.0,123.28,123.28,123.28,1.75,1.75,14.583333333333334,14.583333333333334,0.08333333333333333,0.08333333333333333,1.75,1.75
2017-12-16,0.0,0.0,123.28,123.28,123.28,1.6153846153846154,1.6153846153846154,13.461538461538462,13.461538461538462,0.07692307692307693,0.07692307692307693,1.6153846153846154,1.6153846153846154
2017-12-17,0.0,0.0,123.28,123.28,123.28,1.5,1.5,12.5,12.5,0.07142857142857142,0.07142857142857142,1.5,1.5
2017-12-18,0.0,0.0,123.28,123.28,123.28,1.4,1.4,11.666666666666666,11.666666666666666,0.06666666666666667,0.06666666666666667,1.4,1.4
2017-12-19,0.0,0.0,123.28,123.28,123.28,1.3125,1.3125,10.9375,10.9375,0.0625,0.0625,1.3125,1.3125
2017-12-20,0.0,0.0,123.28,123.28,123.28,1.2352941176470589,1.2352941176470589,10.294117647058824,10.294117647058824,0.058823529411764705,0.058823529411764705,1.2352941176470589,1.2352941176470589
2017-12-21,0.0,0.0,123.28,123.28,123.28,1.1666666666666667,1.1666666666666667,9.722222222222221,9.722222222222221,0.05555555555555555,0.05555555555555555,1.1666666666666667,1.1666666666666667
2017-12-22,0.0,0.0,123.28,123.28,123.28,1.105263157894737,1.105263157894737,9.210526315789474,9.210526315789474,0.05263157894736842,0.05263157894736842,1.105263157894737,1.105263157894737
2017-12-23,0.0,0.0,123.28,123.28,123.28,1.05,1.05,8.75,8.75,0.05,0.05,1.05,1.05
2017-12-24,0.0,0.0,123.28,123.28,123.28,1.0,1.0,8.333333333333334,8.333333333333334,0.047619047619047616,0.047619047619047616,1.0,1.0
2017-12-25,0.0,0.0,123.28,123.28,123.28,0.9545454545454546,0.9545454545454546,7.954545454545454,7.954545454545454,0.045454545454545456,0.045454545454545456,0.9545454545454546,0.9545454545454546
2017-12-26,0.0,0.0,123.28,123.28,123.28,0.9130434782608695,0.9130434782608695,7.608695652173913,7.608695652173913,0.043478260869565216,0.043478260869565216,0.9130434782608695,0.9130434782608695
2017-12-27,0.0,0.0,123.28,123.28,123.28,0.875,0.875,7.291666666666667,7.291666666666667,0.041666666666666664,0.041666666666666664,0.875,0.875
