unique_id,timestamp,y_pred,query_date,model_name,model_version,runtime
8efc7c08-d741-4137-b36c-80e1a69870fb,1617965762.1411622,[225972.1362928],2019-08-01,all-ridge_regression,0.1,000:00:00
61c92ce0-723f-491c-bd03-55bc789be7fb,1617965762.188887,[156197.22546309],2019-08-02,all-ridge_regression,0.1,000:00:00
1f5db033-7cea-4780-b11e-0d295175f6ed,1617965762.2419457,[93392.33971537],2019-08-03,all-ridge_regression,0.1,000:00:00
cf4bbab9-c4ec-4433-94c1-be96d8063308,1617965762.292413,[83086.08468047],2019-08-04,all-ridge_regression,0.1,000:00:00
c81e16b9-cb20-4b43-b68a-ebd0da7fef73,1617965762.3406274,[75123.25493375],2019-08-05,all-ridge_regression,0.1,000:00:00
ec5df786-9ec4-4834-b2a7-712d0d75da35,1617965762.3930442,[82581.06190469],2019-08-06,all-ridge_regression,0.1,000:00:00
21425654-03e1-42d4-a4b3-63500923ce61,1617965762.4425898,[81164.63837925],2019-08-07,all-ridge_regression,0.1,000:00:00
1cd93c2e-78e5-4fcd-a036-8890f34d6bcb,1617965762.489871,[95707.09039801],2019-08-08,all-ridge_regression,0.1,000:00:00
e43c17f1-9e8d-4c48-86ee-1ce59a853757,1617965762.5384743,[96237.71513489],2019-08-09,all-ridge_regression,0.1,000:00:00
97cddd69-c144-406c-9f81-9ae41c394a4b,1617965762.6009102,[83957.98679157],2019-08-10,all-ridge_regression,0.1,000:00:00
8bc42aa2-8eb8-4e5a-a5b3-d17d8e4c8753,1617965762.6578953,[80304.81739376],2019-08-11,all-ridge_regression,0.1,000:00:00
5e7a8113-7ebb-482c-ad44-9bb7f3c6dda4,1617965762.7135665,[85047.55037637],2019-08-12,all-ridge_regression,0.1,000:00:00
f98bd6c0-d4ef-46dc-847b-56d271abe44d,1617965762.7694645,[91727.80828007],2019-08-13,all-ridge_regression,0.1,000:00:00
